Dev_log2_enrichment	Hk_log2_enrichment
1.862496476	2.447458977
1.635427568	2.44278249
1.099535674	2.321928095
4.129283017	3.64385619
0.636361653	-0.100603941
1.977973694	2.921390165
1.306977753	1.891940254
0.288505094	0.610433188
-0.930737337	-0.608809242
-0.934411658	-2.104336657
1.152003093	2.473931188
1.160936218	1.575973718
0.304006187	1.789433014
1.192645078	-0.070389328
2.395928676	1.980891177
0.352301744	0.767339244
0.540568382	-1.044394119
-1.521768676	-0.007195501
-0.087462841	0.719892081
2.099535674	1.684498174
5.573466862	5.251538767
-0.862238829	-0.49966875
3.0	4.415037499
3.0	5.321928095
0.43263156	1.221127454
0.112474729	1.28239973
4.152003094	3.152003093
0.678071905	0.508146903
-0.757023247	1.168976172
2.170986197	2.941504351
1.567040593	1.888968688
-0.286881148	0.298081353
4.684498174	4.099535673
0.843880798	0.621488376
-1.169925003	-0.5849625
2.036525876	2.843880798
0.046650094	-0.605426604
-0.177917791	0.407044709
-1.947977786	-0.947977789
-0.164571766	-1.164571768
-1.180572244	-0.443606651
-1.489714186	-1.074676687
1.722015253	1.306977753
1.531851164	2.531851164
3.871266686	2.96437609
0.68965988	-0.047305715
2.40841962	1.798366139
1.546634382	1.75308526
0.665304609	-0.919657892
1.344648172	0.929610672
2.246639968	2.609210047
-0.492280498	-1.814208591
1.862496476	2.0
0.427110331	1.234465253
1.862496476	1.377069649
0.724992953	2.309955453
-1.864598876	-1.449561375
-0.765534747	-0.350497248
0.912537159	0.49749966
0.209227962	2.209227962
4.0	3.584962501
3.68391936	3.778041537
0.401981346	0.264477822
-0.385431038	0.784493964
-1.263034405	-1.022026308
-1.070389328	-1.485426828
0.112474729	0.74990465
1.759685671	1.567040593
2.819427754	3.819427754
0.312939312	0.991011217
5.71952046	5.916109126
0.637429921	1.637429921
1.816933899	1.188902676
5.824428436	4.736965594
1.0	0.0
-0.568032105	-1.568032105
-1.025028796	0.238005611
1.549338591	1.701341684
-1.007195501	-0.159198595
1.810029056	2.009337865
-1.461070112	-1.291145112
-1.31158615	-1.533978572
-0.089674998	-0.912797237
0.530936619	0.090364027
-2.564784615	-1.342392198
-1.258734268	-1.066089191
2.439285046	1.439285046
1.726077278	0.85160816
0.684498174	1.421463769
3.528378973	2.621488377
2.152003093	1.415037499
1.514573173	2.280107919
1.545824107	0.808858513
2.529370175	1.722015253
0.871895174	0.649502753
-0.223863809	-0.44625623
1.736965594	2.058893689
-1.453457718	-1.212449617
0.427110331	1.675037845
0.473931188	0.152003093
3.120294234	3.498805857
0.260151897	0.523186304
-1.185866544	0.13606155
3.321928095	2.058893689
-1.840463232	-1.255500732
1.692571475	2.599462071
0.33893452	-0.66106548
-1.03562391	-0.450661409
0.68965988	1.367731784
3.937264245	3.136573053
-1.893084797	-2.378511626
2.130308022	0.478231326
1.297543936	-0.576925183
2.299560282	2.7589919
-0.201633862	0.120294234
2.168122759	3.168122759
1.819427754	1.934904972
0.567040592	0.152003093
-1.575917363	0.672010153
